Title	|	Description	|	URL
American Conservative	|	Main Street conservative	|	https://www.theamericanconservative.com/
American Spectator	|	Traditional American values	|	https://www.spectator.org
American Thinker	|	American issues	|	https://www.americanthinker.com/
Blaze Media	|	Unapologetically pro-America	|	https://www.theblaze.com/
Breitbart	|	Free and open exchange of ideas	|	https://www.breitbart.com/
Commentary	|	Intelligent opinions since 1945	|	https://www.commentary.org/
Daily Caller	|	A  center-right perspective	|	https://dailycaller.com/
Daily Wire	|	We’re noisy, we’re having a good time	|	https://www.dailywire.com/
Epoch Times	|	Truth, Tradition, Hope	|	https://www.theepochtimes.com/opinion
Federalist	|	A deep appreciation for America	|	https://thefederalist.com/popular/
Fox News	|	Diversity of thought	|	https://www.foxnews.com/opinion
Free Beacon	|	Serving the public interest	|	https://freebeacon.com/arts-culture-opinion/
Front Page	|	David Horowitz Freedom Center	|	http://www.frontpagemag.com/
Human Events	|	Right-leaning perspective	|	https://humanevents.com/
National Review	|	Modern conservative movement	|	https://www.nationalreview.com
New American	|	Freedom shall not perish	|	https://thenewamerican.com/opinion/
New York Post	|	Founded by Alexander Hamilton	|	https://nypost.com/opinion/
NewsMax	|	Champions of free press	|	https://www.newsmax.com/insiders/
One America	|	High quality, independent coverage	|	https://www.oann.com/category/commentary/
PJ Media	|	Right-of-center perspective	|	https://pjmedia.com/columns/
Red State	|	We don’t live in the Acela corridor	|	https://redstate.com/category/columns/
Taki's Magazine	|	Our writers are never boring	|	https://www.takimag.com/topic/politics/
The Dispatch	|	Don’t apologize for conservatism	|	https://thedispatch.com/
Town Hall	|	Amplify America's conservative voices 	|	https://townhall.com/columnists
Wall Street Journal	|	Chronicling industry	|	https://www.wsj.com/opinion
Washington Examiner	|	Washington’s exploits	|	https://www.washingtonexaminer.com/section/opinion/
Washington Times	|	Counter to mainstream media 	|	https://www.washingtontimes.com/opinion/
World	|	Grounded in facts and biblical truth	|	https://wng.org/opinions
World Net Daily	|	Watchdog on those in power	|	https://www.wnd.com/category/opinion/commentary/
Hot Air	|	A conservative perspective	|	https://hotair.com/
Babylon Bee	|	World’s best satire site	|	https://babylonbee.com/
Revolver	|	Americans, conservatives, patriots	|	https://www.revolver.news/
Bongino Report	|	Conservative news aggregation	|	https://bonginoreport.com/
Woke Spy	|	World of Woke	|	https://wokespy.com/
LifeZette	|	Constitutionally-based news	|	https://www.lifezette.com/
National Pulse	|	Radically independent	|	https://thenationalpulse.com/analysis/
IM-1776	|	Cultural and political analysis	|	https://im1776.com/